id,name,magnitude
256,HD 92719,6.767
257,HD135101,6.69
258,HD37008,7.74
259,HD34575,7.09
260,HD71479,7.17
261,HD116443,7.35
262,HD151541,7.56
263,HD132142,7.77
264,HD42250,7.43
265,HD98281,7.29
266,HD144585,6.32
267,* 49 Ser A,7.43
268,HD125455,7.58
269,HD9562,5.75
270,HD62613,6.55
271,HD130992,7.81
272,HD180161,7.04
273,HD4915,6.98
274,HD220339,7.8
275,HD224619,7.47
276,HD28005,6.72
277,HD216520,7.53
278,11 LMi,5.340
279,41 Ara,5.48
280,85 Peg,5.75
281,alf CMi,0.37
282,HD 142107,9.16
283,chi Dra,3.58
284,* chi01 Ori,4.4
285,eta Cas,3.44
286,eta Cas B,7.51
287,gam Vir,2.74
288,gam Vir B,3.49
289,i Boo A,5.136
290,* i Boo B,6.004
291,*  iot Peg,3.77
292,* kap01 Cet,4.85
293,* ksi Boo A,4.675
294,* ksi Boo B,6.816
295,* ksi UMa A,4.25
296,* ksi UMa B,4.77
297,* mu. Cas,5.17
298,* omi02 Eri,4.43
299,* p Eri A,5.685
300,* p Eri B,5.797
301,* pi.03 Ori,3.19
302,tet Per,4.11
303,zet TrA,4.899
304,zet01 Ret,5.54
305,zet02 Ret,5.228
306,HD 101581,7.762
307,HD 13445,6.117
308,HD 147513,5.376
309,HD 154363,7.709
310,HD 156384,5.89
311,HD 157881,7.56
312,HD 17925,6.05
313,HD 21531,8.367
314,HD 217357,7.869
315,HD 222237,7.087
316,HD 32450,8.317
317,HD 36003,7.642
318,HD 37394,6.23
319,HD 38A,8.826
320,HD 40307,7.147
321,HD 69830,5.95
322,HD 82106,7.197
323,HD 85512,7.651
324,V* AK Lep,6.15
325,V* TW PsA,6.48
326,V* V2215 Oph,6.34
327,V* V2689 Ori,8.898
328,bet Vir,3.6
329,mu. Ara,5.15
330,HD 191408,5.32
331,HD 192310,5.723
332,HD 219482,5.647
